subjID	trial	choice	gain	loss
1	91	3	0	-1
1	92	1	0	0
1	93	1	0	-1
1	94	2	1	0
1	95	2	0	0
1	96	3	0	0
1	97	3	0	0
1	98	3	0	0
1	99	3	0	0
1	100	2	0	0
1	101	2	0	0
1	102	2	0	0
1	103	1	1	0
1	104	2	0	0
1	105	2	0	0
1	106	3	0	0
1	107	2	0	0
1	108	1	0	0
1	109	3	0	0
1	110	1	1	0
1	111	2	0	0
1	112	2	0	0
1	113	3	0	-1
1	114	2	0	0
1	115	1	1	0
1	116	1	0	0
1	117	1	0	0
1	118	1	0	0
1	119	2	0	0
1	120	2	0	0
1	121	1	0	-1
1	122	3	0	0
1	123	1	0	0
1	124	2	0	0
1	125	2	0	0
1	126	3	1	0
1	127	3	0	0
1	128	1	0	0
1	129	1	0	0
1	130	1	0	-1
1	131	3	1	0
1	132	2	0	0
1	133	2	0	0
1	134	3	0	0
1	135	2	0	0
1	136	2	0	0
1	137	3	0	0
1	138	2	0	0
1	139	1	1	-1
1	140	2	0	0
1	141	3	0	0
1	142	3	1	-1
1	143	2	0	0
1	144	2	0	-1
1	145	1	1	0
1	146	1	0	0
1	147	1	0	0
1	148	1	1	0
1	149	1	0	0
1	150	1	1	0
1	151	3	0	0
1	152	2	1	0
1	153	2	0	-1
1	154	3	0	0
1	155	3	0	0
1	156	3	0	0
1	157	3	0	0
1	158	1	0	0
1	159	1	0	0
2	0	3	1	0
2	1	1	1	0
2	2	2	1	0
2	3	1	0	0
2	4	2	0	0
2	5	1	0	0
2	6	1	0	0
2	7	2	0	0
2	8	2	1	0
2	9	3	0	0
2	10	1	1	0
2	11	3	0	0
2	12	1	1	-1
2	13	3	0	0
2	14	2	0	0
2	15	3	1	0
2	16	2	0	0
2	17	2	0	0
2	18	2	0	0
2	19	2	0	0
2	20	2	0	0
2	21	1	1	0
2	22	1	0	0
2	23	3	1	0
2	24	3	0	0
2	25	1	0	0
2	26	1	0	-1
2	27	2	1	0
2	28	2	0	0
2	29	3	0	-1
2	30	2	1	-1
2	31	1	0	0
2	32	1	0	0
2	33	1	0	0
2	34	1	0	0
2	35	3	0	-1
2	36	1	0	0
2	37	1	1	0
2	38	2	1	0
2	39	1	0	-1
2	40	1	1	0
2	41	2	0	0
2	42	3	0	0
2	43	2	0	-1
2	44	1	1	-1
2	45	3	0	0
2	46	3	0	0
2	47	3	0	-1
2	48	3	0	0
2	49	1	0	-1
2	50	2	0	0
2	51	3	1	0
2	52	3	0	0
2	53	2	0	0
2	54	1	0	0
2	55	2	0	0
2	56	2	0	-1
2	57	3	1	0
2	58	1	0	0
2	59	1	0	-1
2	60	2	1	-1
2	61	3	1	0
2	62	3	0	0
2	63	3	0	0
2	64	3	1	0
2	65	1	0	0
2	66	1	0	0
2	67	2	0	-1
2	68	1	0	-1
2	69	3	0	0
2	70	3	0	0
2	71	3	0	0
2	72	3	0	0
2	73	1	0	0
2	74	3	0	0
2	75	3	0	-1
2	76	1	0	0
2	77	3	0	0
2	78	2	0	0
2	79	1	0	0
2	80	3	0	0
2	81	3	0	0
2	82	3	0	-1
2	83	1	1	0
2	84	1	0	0
2	85	2	0	0
2	86	2	0	0
2	87	1	0	0
2	88	3	0	0
2	89	3	1	0
2	90	3	1	0
2	91	2	0	0
2	92	2	1	0
2	93	3	1	0
2	94	3	0	0
2	95	1	1	0
2	96	3	0	0
2	97	1	1	-1
2	98	2	0	0
2	99	3	0	0
2	100	2	0	0
2	101	3	0	0
2	102	2	1	-1
2	103	1	1	0
2	104	3	0	0
2	105	1	1	0
2	106	3	0	0
2	107	3	0	0
2	108	1	1	0
2	109	3	0	0
2	110	3	0	0
2	111	1	1	0
2	112	3	0	-1
2	113	1	0	0
2	114	3	1	-1
2	115	1	0	0
2	116	2	0	0
2	117	2	0	-1
2	118	1	0	0
2	119	1	0	0
2	120	1	0	0
2	121	1	0	0
2	122	3	0	0
2	123	3	1	-1
2	124	1	0	0
2	125	2	1	0
2	126	1	1	0
2	127	2	0	-1
2	128	1	0	0
2	129	1	0	0
2	130	1	0	-1
2	131	3	1	0
2	132	3	0	0
2	133	3	1	0
2	134	3	0	0
2	135	3	0	0
2	136	2	0	0
2	137	1	0	-1
2	138	2	0	0
2	139	2	1	0
2	140	2	0	0
2	141	3	0	0
2	142	2	1	0
2	143	3	0	0
2	144	1	0	0
2	145	1	1	-1
2	146	3	0	0
2	147	3	0	0
2	148	2	0	0
2	149	3	0	0
2	150	1	0	0
2	151	1	0	0
2	152	1	0	0
2	153	1	0	0
2	154	1	0	0
2	155	2	1	0
2	156	3	0	-1
2	157	1	0	0
2	158	1	0	0
2	159	2	0	0
