subjID	group	trial	choice	rt	gain	loss
2	B	146	3	0.3878	0	0
2	B	147	3	0.3533	1	-1
2	B	148	3	0.6334	0	0
2	B	149	3	0.3678	0	0
2	B	150	2	0.4013	0	0
2	B	151	2	0.5227	0	0
2	B	152	2	0.4181	0	0
2	B	153	1	0.3658	0	0
2	B	154	1	0.3992	0	0
2	B	155	1	0.858	0	0
2	B	156	3	0.3364	0	0
2	B	157	3	0.3518	0	0
2	B	158	3	0.4668	0	0
2	B	159	2	0.3993	0	0
2	B	160	2	0.5865	0	0
2	B	161	3	0.5341	0	0
2	B	162	1	0.3836	0	0
2	B	163	1	0.3987	0	0
2	B	164	1	0.4004	0	-1
2	B	165	2	0.3171	0	0
2	B	166	2	0.5685	1	0
2	B	167	2	0.3503	1	0
2	B	168	2	0.3508	1	0
2	B	169	2	0.2995	0	0
2	B	170	2	0.3718	1	0
2	B	171	2	0.3828	0	0
2	B	172	2	0.3528	0	0
2	B	173	2	0.2995	0	0
2	B	174	2	0.352	1	0
2	B	175	2	0.3345	0	0
2	B	176	2	0.4192	0	0
2	B	177	2	0.3846	0	0
2	B	178	3	0.3509	0	-1
2	B	179	1	0.3726	1	0
2	B	180	1	0.502	1	0
2	B	181	1	0.5296	0	0
2	B	182	1	0.3664	1	0
2	B	183	1	0.4103	1	0
2	B	184	1	0.3837	0	0
2	B	185	1	0.3033	0	-1
2	B	186	2	0.3682	1	0
2	B	187	2	0.4016	0	0
2	B	188	2	0.3671	0	0
2	B	189	2	0.5164	0	-1
2	B	190	3	0.3558	0	0
2	B	191	3	0.4061	1	0
2	B	192	3	0.4007	0	0
2	B	193	3	0.3906	0	0
2	B	194	1	0.4515	1	0
2	B	195	1	0.6367	1	0
2	B	196	1	0.5016	1	0
2	B	197	1	0.4321	1	0
2	B	198	1	0.4451	0	0
2	B	199	1	0.417	0	0
2	B	200	1	0.4828	1	0
2	B	201	1	0.467	0	0
2	B	202	2	0.449	0	0
2	B	203	2	0.4664	0	0
2	B	204	1	0.4544	0	0
