subjID	trial	cue	choice	outcome
1	84	1	1	0
1	85	2	1	0
1	86	6	1	0
1	87	4	1	0
1	88	3	0	0
1	89	4	1	0
1	90	4	1	0
1	91	6	1	0
1	92	4	1	0
1	93	6	1	0
1	94	4	1	0
1	95	6	1	0
1	96	4	1	0
1	97	7	1	0
1	98	4	0	-1
1	99	1	1	0
1	100	6	1	0
1	101	6	1	0
1	102	2	1	0
1	103	7	1	0
1	104	4	1	0
1	105	6	1	0
1	106	2	1	0
1	107	6	1	0
1	108	5	0	0
1	109	4	1	0
1	110	7	1	0
1	111	4	1	0
1	112	4	1	0
1	113	1	1	0
1	114	4	1	0
1	115	6	1	0
1	116	4	1	0
1	117	5	1	0
1	118	4	1	0
1	119	2	1	0
1	120	4	1	0
1	121	4	1	0
1	122	3	1	0
1	123	5	1	0
1	124	2	1	0
1	125	4	1	0
1	126	4	1	0
1	127	7	1	0
1	128	6	1	0
1	129	4	1	0
1	130	2	1	0
1	131	4	1	0
1	132	4	1	0
1	133	6	1	0
1	134	4	1	0
1	135	6	1	0
1	136	5	1	0
1	137	6	1	0
1	138	1	1	0
1	139	6	1	0
1	140	7	1	0
1	141	2	1	0
1	142	2	1	0
1	143	3	1	0
1	144	4	1	0
1	145	4	1	0
1	146	4	1	0
1	147	6	1	0
1	148	4	1	0
1	149	6	1	0
1	150	4	1	0
1	151	2	1	0
1	152	7	1	0
1	153	7	1	0
1	154	4	1	0
1	155	6	1	0
1	156	5	1	0
1	157	2	1	0
1	158	4	1	0
1	159	5	1	0
2	0	2	0	-1
2	1	4	1	0
2	2	6	0	0
2	3	2	1	0
2	4	4	1	0
2	5	5	1	0
2	6	4	1	0
2	7	4	1	0
2	8	2	1	0
2	9	6	0	0
2	10	2	1	0
2	11	4	0	-1
2	12	2	1	0
2	13	2	1	0
2	14	6	0	0
2	15	2	1	0
2	16	4	1	0
2	17	4	1	0
2	18	2	1	0
2	19	4	1	0
2	20	4	1	0
2	21	4	1	0
2	22	3	1	0
2	23	2	1	0
2	24	6	0	0
2	25	4	1	0
